,AUC,J,ER,CZ,IU,AUC,J,ER,CZ,IU,Data.gen
BN,0 ± 0.029,0 ± 0.126,-0.001 ± 0.065,-0.002 ± 0.069,0.001 ± 0.114,-0.001 ± 0.019,0.001 ± 0.058,0 ± 0.056,0.001 ± 0.056,0.001 ± 0.058,BN
PV,0 ± 0.029,0 ± 0.127,-0.002 ± 0.065,-0.002 ± 0.069,0 ± 0.127,-0.001 ± 0.019,0.001 ± 0.057,0 ± 0.056,0.001 ± 0.056,0.071 ± 0.112,BN
Semi.PV,-0.02 ± 0.118,0.024 ± 0.341,0.005 ± 0.15,0.005 ± 0.161,0 ± 0.233,-0.019 ± 0.142,-0.017 ± 0.245,-0.026 ± 0.271,-0.026 ± 0.276,0.03 ± 0.443,BN
BN1,-0.083 ± 0.018,5.178 ± 0.577,2.901 ± 0.387,4.023 ± 0.422,-0.564 ± 0.344,0.005 ± 0.015,2.075 ± 0.609,1.59 ± 0.555,2.179 ± 0.581,-1.209 ± 0.707,Skewed
PV1,-0.043 ± 0.022,3.985 ± 0.585,2.211 ± 0.384,2.895 ± 0.405,1.813 ± 0.397,0.031 ± 0.013,1.353 ± 0.608,1.461 ± 0.559,1.564 ± 0.583,-3.653 ± 0.469,Skewed
Semi.PV1,-0.015 ± 0.16,1.386 ± 7.347,0.761 ± 3.196,0.753 ± 3.443,0.447 ± 4.154,0.001 ± 0.087,0.609 ± 4.827,1.274 ± 4.479,0.833 ± 4.69,-2.168 ± 4.012,Skewed
BN2,0 ± 0.032,-0.001 ± 0.122,-0.003 ± 0.075,-0.002 ± 0.079,-0.435 ± 0.08,0 ± 0.014,0.001 ± 0.068,0.001 ± 0.071,0.001 ± 0.067,-0.189 ± 0.068,Mixed
PV2,0 ± 0.032,-0.003 ± 0.122,-0.003 ± 0.075,-0.003 ± 0.08,-0.001 ± 0.076,-0.002 ± 0.014,0.001 ± 0.068,0.001 ± 0.071,0.001 ± 0.067,-0.695 ± 0.119,Mixed
Semi.PV2,-0.018 ± 0.118,0.022 ± 0.431,-0.012 ± 0.187,-0.02 ± 0.202,-0.019 ± 0.278,-0.019 ± 0.128,-0.053 ± 0.249,-0.048 ± 0.342,-0.055 ± 0.33,-0.741 ± 0.382,Mixed
