,AUC,J,ER,CZ,IU,AUC,J,ER,CZ,IU,Data.gen
BN,0.001 ± 0.068,-0.001 ± 0.283,0.001 ± 0.128,0.002 ± 0.134,0.001 ± 0.158,-0.004 ± 0.044,0 ± 0.132,0.002 ± 0.127,0 ± 0.125,0 ± 0.132,BN
PV,0.002 ± 0.068,-0.002 ± 0.277,0 ± 0.127,0.002 ± 0.133,-0.003 ± 0.276,-0.002 ± 0.044,-0.001 ± 0.131,0.002 ± 0.128,0.001 ± 0.125,0.047 ± 0.23,BN
Semi.PV,-0.04 ± 0.139,-0.012 ± 0.587,0.002 ± 0.233,0.007 ± 0.251,-0.016 ± 0.402,-0.031 ± 0.165,-0.044 ± 0.319,-0.052 ± 0.355,-0.05 ± 0.353,-0.051 ± 0.539,BN
BN1,-0.076 ± 0.044,4.958 ± 1.407,2.748 ± 0.915,3.812 ± 0.998,-0.527 ± 0.734,0.015 ± 0.032,2.057 ± 1.289,1.694 ± 1.242,2.175 ± 1.277,-0.869 ± 1.613,Skewed
PV1,-0.035 ± 0.05,3.84 ± 1.288,2.159 ± 0.786,2.818 ± 0.835,1.823 ± 0.907,0.035 ± 0.028,1.354 ± 1.315,1.513 ± 1.266,1.56 ± 1.295,-3.494 ± 1.065,Skewed
Semi.PV1,-0.033 ± 0.138,2.553 ± 3.672,1.582 ± 2.8,1.88 ± 2.843,1.738 ± 2.795,-0.004 ± 0.104,0.326 ± 4.133,0.7 ± 4.007,0.476 ± 4.05,-3.004 ± 4.435,Skewed
BN2,0.001 ± 0.07,-0.001 ± 0.271,0.002 ± 0.154,-0.002 ± 0.159,-0.436 ± 0.168,-0.002 ± 0.032,0.007 ± 0.154,0.003 ± 0.165,0.004 ± 0.156,-0.185 ± 0.159,Mixed
PV2,0.002 ± 0.07,-0.01 ± 0.271,0 ± 0.154,-0.003 ± 0.159,-0.02 ± 0.164,-0.002 ± 0.031,0.004 ± 0.154,0.001 ± 0.165,0.002 ± 0.156,-0.645 ± 0.277,Mixed
Semi.PV2,-0.027 ± 0.126,0.044 ± 0.588,0.002 ± 0.285,-0.014 ± 0.298,-0.042 ± 0.362,-0.033 ± 0.149,-0.052 ± 0.331,-0.065 ± 0.419,-0.076 ± 0.403,-0.72 ± 0.497,Mixed
